Model,Type,Quant,Params(B),VRAM(GB),Context,Downloads,Quality,Speed,Fit,CtxScore,Score,Verdict
Qwen/Qwen3-4B-Instruct-2507,GGUF,Q4_K_M,4.02,2.1,262144,5604976,88.9,97.7,100.0,100.0,96.7,Excellent
Nanbeige/Nanbeige4.1-3B,GGUF,Q4_K_M,3.93,2.0,262144,734323,88.8,97.7,100.0,100.0,96.6,Excellent
Qwen/Qwen3-4B-Thinking-2507,GGUF,Q4_K_M,4.02,2.1,262144,1056750,87.6,97.7,100.0,100.0,96.3,Excellent
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,GGUF,Q4_K_M,1.78,0.9,131072,641594,88.2,97.9,100.0,93.0,95.8,Excellent
Qwen/Qwen3-0.6B,GGUF,Q4_K_M,0.75,0.5,40960,13320335,90.0,97.9,100.0,87.0,95.7,Excellent
Qwen/Qwen3-8B,GGUF,Q4_K_M,8.19,4.2,40960,8916125,90.0,97.4,100.0,87.0,95.5,Excellent
HuggingFaceTB/SmolLM3-3B,GGUF,Q4_K_M,3.08,1.6,65536,838923,89.0,97.8,100.0,87.0,95.4,Excellent
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,GGUF,Q4_K_M,7.62,3.9,131072,576713,86.8,97.4,100.0,93.0,95.4,Excellent
mistralai/Mistral-7B-Instruct-v0.2,GGUF,Q4_K_M,7.24,3.7,32768,3048605,90.0,97.5,100.0,80.0,94.9,Excellent
Qwen/Qwen3-1.7B,GGUF,Q4_K_M,2.03,1.0,40960,7069931,86.4,97.8,100.0,87.0,94.8,Excellent
Qwen/Qwen2.5-7B-Instruct,GGUF,Q4_K_M,7.62,3.9,32768,21297801,90.0,97.4,100.0,80.0,94.8,Excellent
Qwen/Qwen2.5-7B,GGUF,Q4_K_M,7.62,3.9,131072,1202170,84.3,97.4,100.0,93.0,94.7,Excellent
Qwen/Qwen2.5-1.5B-Instruct,GGUF,Q4_K_M,1.54,0.8,32768,8888396,88.1,97.9,100.0,80.0,94.5,Excellent
Qwen/Qwen2.5-Coder-7B-Instruct,GGUF,Q4_K_M,7.62,3.9,32768,2481079,88.3,97.4,100.0,80.0,94.4,Excellent
nvidia/NVIDIA-Nemotron-Nano-9B-v2,GGUF,Q4_K_M,8.89,4.6,131072,358294,82.6,97.3,100.0,93.0,94.3,Excellent
Qwen/Qwen2.5-0.5B-Instruct,GGUF,Q4_K_M,0.49,0.5,32768,7080933,86.9,98.0,100.0,80.0,94.2,Excellent
mistralai/Mistral-7B-v0.1,GGUF,Q4_K_M,7.24,3.7,32768,547233,87.5,97.5,100.0,80.0,94.2,Excellent
NousResearch/Hermes-3-Llama-3.1-8B,GGUF,Q4_K_M,8.03,4.1,131072,381743,82.0,97.4,100.0,93.0,94.1,Excellent
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,GGUF,Q4_K_M,8.19,4.2,131072,154733,82.0,97.4,100.0,93.0,94.1,Excellent
Qwen/Qwen2.5-0.5B,GGUF,Q4_K_M,0.49,0.5,32768,1669136,85.9,98.0,100.0,80.0,94.0,Excellent
LiquidAI/LFM2.5-1.2B-Instruct,GGUF,Q4_K_M,1.17,0.6,128000,231517,81.1,97.9,100.0,93.0,94.0,Excellent
Qwen/Qwen2.5-3B-Instruct,GGUF,Q4_K_M,3.09,1.6,32768,7703890,86.3,97.8,100.0,80.0,94.0,Excellent
Qwen/Qwen2.5-1.5B,GGUF,Q4_K_M,1.54,0.8,131072,642006,80.5,97.9,100.0,93.0,93.9,Excellent
Qwen/Qwen3-4B-Instruct-2507-FP8,GGUF,Q4_K_M,4.41,2.3,262144,741773,77.5,97.7,100.0,100.0,93.8,Excellent
Qwen/Qwen2-7B-Instruct,GGUF,Q4_K_M,7.62,3.9,32768,436294,84.9,97.4,100.0,80.0,93.6,Excellent
LiquidAI/LFM2-1.2B,GGUF,Q4_K_M,1.17,0.6,128000,216438,79.0,97.9,100.0,93.0,93.5,Excellent
janhq/Jan-v1-4B,GGUF,Q4_K_M,4.02,2.1,262144,97363,75.5,97.7,100.0,100.0,93.3,Excellent
nvidia/Llama-3.1-Nemotron-Nano-8B-v1,GGUF,Q4_K_M,8.03,4.1,131072,294449,78.3,97.4,100.0,93.0,93.2,Excellent
Qwen/Qwen2-1.5B-Instruct,GGUF,Q4_K_M,1.54,0.8,32768,3046106,82.1,97.9,100.0,80.0,93.0,Excellent
nvidia/NVIDIA-Nemotron-Nano-9B-v2-Japanese,GGUF,Q4_K_M,8.89,4.6,131072,423267,77.7,97.3,100.0,93.0,93.0,Excellent
HuggingFaceH4/zephyr-7b-beta,GGUF,Q4_K_M,7.24,3.7,32768,144042,81.7,97.5,100.0,80.0,92.8,Excellent
Qwen/Qwen3-0.6B-FP8,GGUF,Q4_K_M,0.75,0.5,40960,1698830,77.7,97.9,100.0,87.0,92.6,Excellent
Qwen/Qwen2.5-Coder-1.5B-Instruct,GGUF,Q4_K_M,1.54,0.8,32768,919131,80.2,97.9,100.0,80.0,92.5,Excellent
Qwen/Qwen2.5-7B-Instruct-1M,GGUF,Q4_K_M,7.62,3.9,1010000,45056,72.3,97.4,100.0,100.0,92.4,Excellent
Qwen/Qwen2-0.5B-Instruct,GGUF,Q4_K_M,0.49,0.5,32768,412295,79.4,98.0,100.0,80.0,92.3,Excellent
Qwen/Qwen3-8B-Base,GGUF,Q4_K_M,8.19,4.2,32768,1880174,79.8,97.4,100.0,80.0,92.3,Excellent
Qwen/Qwen3-4B-Base,GGUF,Q4_K_M,4.02,2.1,32768,1068327,79.2,97.7,100.0,80.0,92.2,Excellent
Qwen/Qwen-7B-Chat,GGUF,Q4_K_M,7.72,4.0,32768,104446,79.3,97.4,100.0,80.0,92.2,Excellent
EssentialAI/rnj-1-instruct,GGUF,Q4_K_M,8.31,4.3,32768,259719,79.3,97.4,100.0,80.0,92.2,Excellent
RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,GGUF,Q4_K_M,8.03,4.1,131072,531221,74.0,97.4,100.0,93.0,92.1,Excellent
Qwen/Qwen2.5-3B,GGUF,Q4_K_M,3.09,1.6,32768,377486,78.4,97.8,100.0,80.0,92.0,Excellent
cyankiwi/GLM-4.7-Flash-AWQ-4bit,AWQ,AWQ-4bit,6.41,3.3,202752,232959,70.7,97.5,100.0,100.0,92.0,Excellent
LiquidAI/LFM2-8B-A1B,GGUF,Q4_K_M,8.34,4.3,128000,63733,73.5,97.4,100.0,93.0,92.0,Excellent
Qwen/Qwen3-8B-AWQ,AWQ,AWQ-4bit,8.19,4.2,40960,736224,74.8,97.4,100.0,87.0,91.8,Excellent
HuggingFaceTB/SmolLM2-135M-Instruct,GGUF,Q4_K_M,0.13,0.5,8192,889827,84.5,98.0,100.0,60.0,91.6,Excellent
Dream-org/Dream-v0-Instruct-7B,GGUF,Q4_K_M,7.62,3.9,131072,98462,72.0,97.4,100.0,93.0,91.6,Excellent
Qwen/Qwen-7B,GGUF,Q4_K_M,7.72,4.0,32768,118862,76.9,97.4,100.0,80.0,91.6,Excellent
Qwen/Qwen2.5-Coder-0.5B-Instruct,GGUF,Q4_K_M,0.49,0.5,32768,587434,76.1,98.0,100.0,80.0,91.5,Excellent
Qwen/Qwen2-1.5B,GGUF,Q4_K_M,1.54,0.8,131072,124249,71.1,97.9,100.0,93.0,91.5,Excellent
cyankiwi/Qwen3-Coder-30B-A3B-Instruct-AWQ-4bit,AWQ,AWQ-4bit,5.31,2.7,262144,134049,68.1,97.6,100.0,100.0,91.4,Excellent
